press_date_at,die_number,pressing_type,plan_billet_quantities,actual_billet_quantities,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351
07-19,SY30M-V01B,◎,5,5,85,5,80,07-23,07-19,07-23,08-13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-17,DXT192M1-V01D,●,20,20,279,16,263,07-23,,07-23,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
07-16,APT4-V01B,◎,5,5,94,94,0,07-17,,,,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-16,XLA16B2-V01B,◎,5,5,59,0,59,07-24,,08-05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-16,XLA16BN-V01B,〇,5,5,74,0,74,07-24,,08-05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-15,SY70M-V01B,〇,1,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-15,XLA40B2-V01B,〇,2,2,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-14,APT6-V01B,◎,5,5,60,60,0,07-16,,,,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-14,VV14M1-V01D,●,15,17,376,0,376,07-14,07-14,07-19,07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-14,DXT155M-V01D,●,20,15,330,,,07-21,07-21,07-23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-13,SY50M-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-13,VV15M1-V01D,●,1,1,15,,,07-19,,07-23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-13,DXT192M1-V01D,●,20,3,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-12,DXT155M-V01D,〇,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-10,MHY20B-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-10,MXS08TB-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-10,MHY25B-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-10,MXS20TB-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-10,VV10M1-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-10,CQ63T-V02C,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-09,VJ30M1-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-09,SY70M-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-09,XLA40B2-V01B,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-08,VV14M1-V01D,●,20,20,439,13,426,,07-09,,,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-08,DXT192M1-V01D,◎,7,6,82,3,79,08-09,07-09,07-14,07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
07-07,DXT192M1-V01D,●,10,13,192,21,171,07-16,,07-14,07-16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
07-07,SY50MP-V01D,〇,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-06,MHY10B-V01D,〇,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-06,MHY16B-V01D,〇,5,5,79,0,79,07-08,,07-08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-06,SY30MP-V01D,〇,1,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-05,DXT155M-V01D,●,10,2,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-05,SY30M-V01B,◎,5,5,84,84,0,08-09,07-06,,,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
07-05,VV10M1-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02,MXS06TB-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02,MXS16TB-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-01,XLA25B2-V01B,◎,6,6,41,7,34,07-02,07-01,07-08,08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
07-01,VV14M1-V01D,〇,10,3,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-01,MXS12TB-V01D,〇,1,5,130,10,120,07-04,,07-08,,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-01,MXS25TB-V01D,〇,5,5,65,5,60,07-07,,07-08,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-30,DXT192M1-V01D,〇,5,4,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-29,XLA25BN-V01D,◎,5,6,53,3,50,07-03,,08-05,08-19,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-29,MYB16H-V01D,〇,1,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-29,MSQ30B2-V01D,〇,2,2,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26,MHY20B-V01D,〇,1,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26,MHY25B-V01D,〇,1,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-25,SY30M-V01B,〇,1,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
